Freq[#], X[m], Y[m], V[m], Z[m], Log(Abs)[*], Log(Im)[*], Log(Re)[*], Phase[*], Con[mS/m], Ro[Om*m], PPM, Lat[*], Lon[*], GNSS altitude, UTC
1, 0.000, 0.000, 0.000, -10, 2.03128e-07, 1.67051e-07, -1.15563e-07, -55.3251, 101.763, 9.82677, 388.927, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
2, 0.000, 0.000, 0.000, -9.28571, 2.82046e-07, 2.23123e-07, -1.72528e-07, -52.2872, 91.4524, 10.9346, 518.475, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
3, 0.000, 0.000, 0.000, -8.57143, 4.09689e-07, 2.88547e-07, -2.90837e-07, -44.7735, 82.106, 12.1794, 737.9, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
4, 0.000, 0.000, 0.000, -7.85714, 6.27019e-07, 4.10853e-07, -4.73659e-07, -40.9384, 73.0765, 13.6843, 1104.63, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
5, 0.000, 0.000, 0.000, -7.14286, 1.04694e-06, 6.49122e-07, -8.21421e-07, -38.3173, 66.2795, 15.0876, 1821.69, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
6, 0.000, 0.000, 0.000, -6.42857, 1.95129e-06, 1.1784e-06, -1.55528e-06, -37.1503, 59.4258, 16.8277, 3351.35, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
7, 0.000, 0.000, 0.000, -5.71429, 2.85119e-06, 1.52545e-06, -2.40879e-06, -32.3454, 57.4971, 17.3922, 4918.72, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
8, 0.000, 0.000, 0.000, -5, 4.09326e-06, 2.44568e-06, -3.28229e-06, -36.6903, 52.0889, 19.198, 6968.63, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
9, 0.000, 0.000, 0.000, -4.28571, 6.39121e-06, 3.75152e-06, -5.17433e-06, -35.943, 48.4401, 20.6441, 11019.2, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
10, 0.000, 0.000, 0.000, -3.57143, 1.0661e-05, 6.36294e-06, -8.55398e-06, -36.644, 44.0484, 22.7023, 18502.6, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
11, 0.000, 0.000, 0.000, -2.85714, 1.90769e-05, 1.19478e-05, -1.4872e-05, -38.7775, 39.2243, 25.4944, 33645.2, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
12, 0.000, 0.000, 0.000, -2.14286, 3.70918e-05, 2.58277e-05, -2.6622e-05, -44.1325, 32.6944, 30.5863, 66823.7, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
13, 0.000, 0.000, 0.000, -1.42857, 7.60081e-05, 6.35002e-05, -4.17726e-05, -56.6617, 25.0496, 39.9209, 155367, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
14, 0.000, 0.000, 0.000, -0.714286, 0.000174497, 0.000165016, -5.67348e-05, -71.0263, 18.3478, 54.5024, 396888, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
1, 0.000, 0.000, 0.000, -10, 2.0731e-07, 1.72745e-07, -1.14614e-07, -56.4363, 103.848, 9.62948, 397.622, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
2, 0.000, 0.000, 0.000, -9.28571, 2.82538e-07, 2.26318e-07, -1.69139e-07, -53.2274, 91.6113, 10.9157, 520.317, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
3, 0.000, 0.000, 0.000, -8.57143, 4.10432e-07, 2.89157e-07, -2.91278e-07, -44.7906, 82.254, 12.1575, 740.271, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
4, 0.000, 0.000, 0.000, -7.85714, 6.27181e-07, 4.13754e-07, -4.71343e-07, -41.2772, 73.0953, 13.6808, 1105.97, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
5, 0.000, 0.000, 0.000, -7.14286, 1.05448e-06, 6.66294e-07, -8.17303e-07, -39.1881, 66.7527, 14.9807, 1835.46, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
6, 0.000, 0.000, 0.000, -6.42857, 1.94574e-06, 1.18e-06, -1.5471e-06, -37.3334, 59.2585, 16.8752, 3344.74, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
7, 0.000, 0.000, 0.000, -5.71429, 2.84675e-06, 1.51502e-06, -2.41012e-06, -32.1539, 57.4087, 17.419, 4914.1, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
8, 0.000, 0.000, 0.000, -5, 4.12039e-06, 2.45489e-06, -3.30924e-06, -36.5691, 52.429, 19.0734, 7023.17, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
9, 0.000, 0.000, 0.000, -4.28571, 6.42007e-06, 3.79083e-06, -5.18141e-06, -36.19, 48.655, 20.5529, 11072.7, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
10, 0.000, 0.000, 0.000, -3.57143, 1.0686e-05, 6.40646e-06, -8.55268e-06, -36.8354, 44.1494, 22.6504, 18553, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
11, 0.000, 0.000, 0.000, -2.85714, 1.90264e-05, 1.19533e-05, -1.48028e-05, -38.921, 39.1232, 25.5603, 33580.2, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
12, 0.000, 0.000, 0.000, -2.14286, 3.71534e-05, 2.59193e-05, -2.66189e-05, -44.2371, 32.7468, 30.5373, 66956, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
13, 0.000, 0.000, 0.000, -1.42857, 7.5829e-05, 6.33904e-05, -4.16137e-05, -56.7165, 24.9932, 40.0109, 154924, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
14, 0.000, 0.000, 0.000, -0.714286, 0.000174759, 0.000165295, -5.67294e-05, -71.0578, 18.3736, 54.426, 397727, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
1, 0.000, 0.000, 0.000, -10, 2.09124e-07, 1.76346e-07, -1.12405e-07, -57.4861, 104.752, 9.54632, 401.042, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
2, 0.000, 0.000, 0.000, -9.28571, 2.82399e-07, 2.24821e-07, -1.70893e-07, -52.7604, 91.5662, 10.9211, 519.751, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
3, 0.000, 0.000, 0.000, -8.57143, 4.10698e-07, 2.91401e-07, -2.8941e-07, -45.1964, 82.3068, 12.1497, 741.643, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
4, 0.000, 0.000, 0.000, -7.85714, 6.16857e-07, 4.05676e-07, -4.64692e-07, -41.121, 71.9, 13.9082, 1088.38, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
5, 0.000, 0.000, 0.000, -7.14286, 1.044e-06, 6.43003e-07, -8.2249e-07, -38.0174, 66.0949, 15.1298, 1817.9, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
6, 0.000, 0.000, 0.000, -6.42857, 1.98857e-06, 1.20464e-06, -1.58217e-06, -37.285, 60.5487, 16.5156, 3420.03, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
7, 0.000, 0.000, 0.000, -5.71429, 2.86953e-06, 1.54545e-06, -2.4178e-06, -32.5865, 57.8622, 17.2824, 4955.5, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
8, 0.000, 0.000, 0.000, -5, 4.05976e-06, 2.40844e-06, -3.26819e-06, -36.3878, 51.6687, 19.3541, 6921.42, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
9, 0.000, 0.000, 0.000, -4.28571, 6.35822e-06, 3.72165e-06, -5.15522e-06, -35.8262, 48.1944, 20.7493, 10971.9, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
10, 0.000, 0.000, 0.000, -3.57143, 1.06551e-05, 6.3482e-06, -8.55755e-06, -36.569, 44.0244, 22.7147, 18511.2, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
11, 0.000, 0.000, 0.000, -2.85714, 1.8976e-05, 1.18954e-05, -1.47848e-05, -38.8191, 39.0224, 25.6263, 33507.4, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
12, 0.000, 0.000, 0.000, -2.14286, 3.69914e-05, 2.58921e-05, -2.6419e-05, -44.4229, 32.6089, 30.6665, 66725.5, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
13, 0.000, 0.000, 0.000, -1.42857, 7.59014e-05, 6.40612e-05, -4.07086e-05, -57.5655, 25.016, 39.9745, 155217, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
14, 0.000, 0.000, 0.000, -0.714286, 0.000178232, 0.000171252, -4.93892e-05, -73.9124, 18.7142, 53.4354, 405758, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:25:617
1, 0.883, 1.284, 1.558, -10, 2.0389e-07, 1.67741e-07, -1.15906e-07, -55.3564, 102.143, 9.79019, 391.431, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
2, 0.883, 1.284, 1.558, -9.28571, 2.82709e-07, 2.25093e-07, -1.71049e-07, -52.7687, 91.6663, 10.9091, 520.749, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
3, 0.883, 1.284, 1.558, -8.57143, 4.09021e-07, 2.86006e-07, -2.92402e-07, -44.3664, 81.9728, 12.1992, 739.102, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
4, 0.883, 1.284, 1.558, -7.85714, 6.2189e-07, 4.04025e-07, -4.7277e-07, -40.5169, 72.4827, 13.7964, 1097.56, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
5, 0.883, 1.284, 1.558, -7.14286, 1.05411e-06, 6.50677e-07, -8.29316e-07, -38.1176, 66.7293, 14.9859, 1836.36, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
6, 0.883, 1.284, 1.558, -6.42857, 2.01817e-06, 1.17537e-06, -1.64058e-06, -35.6192, 61.4397, 16.2761, 3472.07, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
7, 0.883, 1.284, 1.558, -5.71429, 2.89028e-06, 1.55277e-06, -2.43775e-06, -32.4958, 58.2751, 17.16, 4995.23, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
8, 0.883, 1.284, 1.558, -5, 4.14856e-06, 2.4648e-06, -3.33696e-06, -36.4509, 52.7822, 18.9458, 7080.96, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
9, 0.883, 1.284, 1.558, -4.28571, 6.48236e-06, 3.797e-06, -5.25393e-06, -35.8556, 49.1186, 20.3589, 11191.9, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
10, 0.883, 1.284, 1.558, -3.57143, 1.08166e-05, 6.4225e-06, -8.70347e-06, -36.4245, 44.6772, 22.3828, 18794, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
11, 0.883, 1.284, 1.558, -2.85714, 1.92986e-05, 1.20348e-05, -1.50864e-05, -38.5801, 39.6677, 25.2094, 34080.2, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
12, 0.883, 1.284, 1.558, -2.14286, 3.77814e-05, 2.61785e-05, -2.72419e-05, -43.8596, 33.2811, 30.0471, 68165.9, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
13, 0.883, 1.284, 1.558, -1.42857, 7.7829e-05, 6.48346e-05, -4.30561e-05, -56.4122, 25.6223, 39.0286, 159248, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
14, 0.883, 1.284, 1.558, -0.714286, 0.000175613, 0.000165805, -5.78669e-05, -70.7607, 18.4574, 54.1789, 399814, 46.54862655, 40.29340155, 0, 2021.07.23 11:36:27:368
1, 2.811, 6.812, 7.369, -10, 2.07795e-07, 1.69952e-07, -1.19561e-07, -54.8738, 104.09, 9.60711, 398.956, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
2, 2.811, 6.812, 7.369, -9.28571, 2.91953e-07, 2.31304e-07, -1.78143e-07, -52.3976, 94.6474, 10.5655, 537.845, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
3, 2.811, 6.812, 7.369, -8.57143, 4.23852e-07, 2.93819e-07, -3.05485e-07, -43.8849, 84.927, 11.7748, 765.889, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
4, 2.811, 6.812, 7.369, -7.85714, 6.42807e-07, 4.23197e-07, -4.83845e-07, -41.1747, 74.9036, 13.3505, 1134.46, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
5, 2.811, 6.812, 7.369, -7.14286, 1.07878e-06, 6.65585e-07, -8.48979e-07, -38.0958, 68.2776, 14.6461, 1879.39, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
6, 2.811, 6.812, 7.369, -6.42857, 2.00515e-06, 1.20528e-06, -1.60248e-06, -36.9481, 61.0479, 16.3806, 3450.33, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
7, 2.811, 6.812, 7.369, -5.71429, 2.96969e-06, 1.55068e-06, -2.53268e-06, -31.4778, 59.8552, 16.707, 5132.69, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
8, 2.811, 6.812, 7.369, -5, 4.25631e-06, 2.45668e-06, -3.47576e-06, -35.2528, 54.1325, 18.4732, 7263.27, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
9, 2.811, 6.812, 7.369, -4.28571, 6.6658e-06, 3.76595e-06, -5.50004e-06, -34.3999, 50.4833, 19.8085, 11514.3, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
10, 2.811, 6.812, 7.369, -3.57143, 1.12521e-05, 6.48936e-06, -9.19234e-06, -35.2203, 46.4358, 21.5351, 19574.4, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
11, 2.811, 6.812, 7.369, -2.85714, 2.02469e-05, 1.22782e-05, -1.60991e-05, -37.3315, 41.5615, 24.0607, 35764, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
12, 2.811, 6.812, 7.369, -2.14286, 4.00262e-05, 2.68956e-05, -2.96433e-05, -42.2177, 35.186, 28.4204, 72239.4, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
13, 2.811, 6.812, 7.369, -1.42857, 8.28834e-05, 6.69931e-05, -4.88013e-05, -53.9284, 27.206, 36.7566, 169615, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
14, 2.811, 6.812, 7.369, -0.714286, 0.000185739, 0.000171809, -7.05736e-05, -67.6687, 19.4477, 51.4198, 423237, 46.54867626, 40.29342676, 0, 2021.07.23 11:36:29:117
1, 3.245, 11.846, 12.283, -10, 1.924e-07, 1.46375e-07, -1.24868e-07, -49.5334, 96.4123, 10.3721, 369.486, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
2, 3.245, 11.846, 12.283, -9.28571, 2.62827e-07, 1.90984e-07, -1.80563e-07, -46.6066, 85.2509, 11.7301, 484.404, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
3, 3.245, 11.846, 12.283, -8.57143, 3.94212e-07, 2.45897e-07, -3.0812e-07, -38.5919, 79.0217, 12.6547, 712.748, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
4, 3.245, 11.846, 12.283, -7.85714, 6.13722e-07, 3.62503e-07, -4.95224e-07, -36.204, 71.5372, 13.9787, 1083.75, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
5, 3.245, 11.846, 12.283, -7.14286, 1.06075e-06, 5.95813e-07, -8.77613e-07, -34.1727, 67.1463, 14.8928, 1848.81, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
6, 3.245, 11.846, 12.283, -6.42857, 1.99174e-06, 1.09346e-06, -1.66475e-06, -33.298, 60.6442, 16.4896, 3428.4, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
7, 3.245, 11.846, 12.283, -5.71429, 2.9437e-06, 1.4431e-06, -2.5657e-06, -29.356, 59.3381, 16.8526, 5087.58, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
8, 3.245, 11.846, 12.283, -5, 4.15466e-06, 2.25417e-06, -3.48998e-06, -32.8584, 52.8587, 18.9183, 7086.95, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
9, 3.245, 11.846, 12.283, -4.28571, 6.57201e-06, 3.57593e-06, -5.51399e-06, -32.9642, 49.7857, 20.0861, 11357.3, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
10, 3.245, 11.846, 12.283, -3.57143, 1.11049e-05, 6.21735e-06, -9.20123e-06, -34.0472, 45.8415, 21.8143, 19321.8, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
11, 3.245, 11.846, 12.283, -2.85714, 1.97073e-05, 1.1798e-05, -1.57856e-05, -36.7741, 40.4844, 24.7009, 34807.3, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
12, 3.245, 11.846, 12.283, -2.14286, 3.90515e-05, 2.61211e-05, -2.90294e-05, -41.9813, 34.3598, 29.1038, 70507.8, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
13, 3.245, 11.846, 12.283, -1.42857, 8.04182e-05, 6.50999e-05, -4.72132e-05, -54.0488, 26.4346, 37.8291, 164649, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
14, 3.245, 11.846, 12.283, -0.714286, 0.00018011, 0.000165774, -7.04169e-05, -66.9853, 18.898, 52.9156, 410752, 46.54872154, 40.29343243, 0, 2021.07.23 11:36:30:867
1, 3.569, 17.339, 17.703, -10, 1.86597e-07, 1.42676e-07, -1.20258e-07, -49.8732, 93.517, 10.6932, 358.496, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
2, 3.569, 17.339, 17.703, -9.28571, 2.52695e-07, 1.77716e-07, -1.79645e-07, -44.6907, 81.9801, 12.1981, 465.694, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
3, 3.569, 17.339, 17.703, -8.57143, 3.87515e-07, 2.4495e-07, -3.00279e-07, -39.2056, 77.6868, 12.8722, 700.857, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
4, 3.569, 17.339, 17.703, -7.85714, 5.90911e-07, 3.38146e-07, -4.84596e-07, -34.9069, 68.8954, 14.5148, 1043.4, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
5, 3.569, 17.339, 17.703, -7.14286, 1.01532e-06, 5.56479e-07, -8.49235e-07, -33.2357, 64.2936, 15.5536, 1769.74, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
6, 3.569, 17.339, 17.703, -6.42857, 1.93108e-06, 1.05028e-06, -1.62048e-06, -32.9485, 58.8166, 17.002, 3323.87, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
7, 3.569, 17.339, 17.703, -5.71429, 2.84751e-06, 1.37437e-06, -2.49388e-06, -28.859, 57.424, 17.4143, 4923.08, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
8, 3.569, 17.339, 17.703, -5, 4.08141e-06, 2.2166e-06, -3.42703e-06, -32.8948, 51.9402, 19.2529, 6962.2, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
9, 3.569, 17.339, 17.703, -4.28571, 6.49736e-06, 3.56399e-06, -5.43264e-06, -33.2662, 49.2302, 20.3127, 11220.8, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
10, 3.569, 17.339, 17.703, -3.57143, 1.07914e-05, 6.05921e-06, -8.92977e-06, -34.1585, 44.5755, 22.4339, 18763.6, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
11, 3.569, 17.339, 17.703, -2.85714, 1.92984e-05, 1.15631e-05, -1.54506e-05, -36.8109, 39.6673, 25.2097, 34091.8, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
12, 3.569, 17.339, 17.703, -2.14286, 3.77549e-05, 2.5266e-05, -2.80545e-05, -42.0063, 33.2585, 30.0675, 68150.9, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
13, 3.569, 17.339, 17.703, -1.42857, 7.60383e-05, 6.16632e-05, -4.44912e-05, -54.1888, 25.0591, 39.9057, 155625, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
14, 3.569, 17.339, 17.703, -0.714286, 0.00016976, 0.000156511, -6.57491e-05, -67.2131, 17.8818, 55.9227, 386889, 46.54877094, 40.29343667, 0, 2021.07.23 11:36:32:618
1, 3.870, 22.938, 23.262, -10, 1.73402e-07, 1.31427e-07, -1.13115e-07, -49.2825, 86.9304, 11.5035, 333.146, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
2, 3.870, 22.938, 23.262, -9.28571, 2.47517e-07, 1.76664e-07, -1.73362e-07, -45.5406, 80.3077, 12.4521, 456.284, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
3, 3.870, 22.938, 23.262, -8.57143, 3.64019e-07, 2.3026e-07, -2.8194e-07, -39.2385, 73.0013, 13.6984, 658.185, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
4, 3.870, 22.938, 23.262, -7.85714, 5.63698e-07, 3.37788e-07, -4.51282e-07, -36.8151, 65.7421, 15.2109, 995.896, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
5, 3.870, 22.938, 23.262, -7.14286, 9.7637e-07, 5.63521e-07, -7.97334e-07, -35.251, 61.8467, 16.169, 1701.66, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
6, 3.870, 22.938, 23.262, -6.42857, 1.83239e-06, 1.0325e-06, -1.5138e-06, -34.2962, 55.8412, 17.9079, 3154.59, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
7, 3.870, 22.938, 23.262, -5.71429, 2.65745e-06, 1.3069e-06, -2.31388e-06, -29.458, 53.6367, 18.6439, 4593.56, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
8, 3.870, 22.938, 23.262, -5, 3.79492e-06, 2.12277e-06, -3.14568e-06, -34.0123, 48.3438, 20.6852, 6477.29, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
9, 3.870, 22.938, 23.262, -4.28571, 6.01089e-06, 3.37053e-06, -4.97698e-06, -34.1068, 45.6051, 21.9274, 10381.9, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
10, 3.870, 22.938, 23.262, -3.57143, 1.00473e-05, 5.81536e-06, -8.19325e-06, -35.3662, 41.5637, 24.0595, 17474.2, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
11, 3.870, 22.938, 23.262, -2.85714, 1.78236e-05, 1.09752e-05, -1.40437e-05, -38.008, 36.7124, 27.2387, 31488, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
12, 3.870, 22.938, 23.262, -2.14286, 3.42642e-05, 2.34189e-05, -2.50118e-05, -43.1162, 30.2813, 33.0237, 61853.7, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
13, 3.870, 22.938, 23.262, -1.42857, 6.83887e-05, 5.67912e-05, -3.81021e-05, -56.1418, 22.6406, 44.1685, 140059, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
14, 3.870, 22.938, 23.262, -0.714286, 0.000155476, 0.000144648, -5.70052e-05, -68.4909, 16.4674, 60.7262, 354614, 46.54882129, 40.29344060, 0, 2021.07.23 11:36:34:368
1, 4.241, 28.230, 28.546, -10, 1.60189e-07, 1.20144e-07, -1.05952e-07, -48.5917, 80.3313, 12.4484, 307.713, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
2, 4.241, 28.230, 28.546, -9.28571, 2.37276e-07, 1.74518e-07, -1.60758e-07, -47.3501, 76.9996, 12.9871, 437.595, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
3, 4.241, 28.230, 28.546, -8.57143, 3.48796e-07, 2.22324e-07, -2.68757e-07, -39.5986, 69.9636, 14.2931, 630.472, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
4, 4.241, 28.230, 28.546, -7.85714, 5.41175e-07, 3.22912e-07, -4.34279e-07, -36.633, 63.1309, 15.8401, 955.544, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
5, 4.241, 28.230, 28.546, -7.14286, 9.31745e-07, 5.37323e-07, -7.61205e-07, -35.2177, 59.0412, 16.9373, 1623.8, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
6, 4.241, 28.230, 28.546, -6.42857, 1.73856e-06, 9.94704e-07, -1.42589e-06, -34.8997, 53.0095, 18.8645, 2992.94, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
7, 4.241, 28.230, 28.546, -5.71429, 2.5661e-06, 1.2794e-06, -2.22441e-06, -29.9061, 51.8143, 19.2997, 4435.88, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
8, 4.241, 28.230, 28.546, -5, 3.60355e-06, 2.07941e-06, -2.94306e-06, -35.243, 45.9373, 21.7688, 6153.79, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
9, 4.241, 28.230, 28.546, -4.28571, 5.64354e-06, 3.28057e-06, -4.5921e-06, -35.5418, 42.8613, 23.331, 9746.75, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
10, 4.241, 28.230, 28.546, -3.57143, 9.35917e-06, 5.5847e-06, -7.51035e-06, -36.6345, 38.7709, 25.7925, 16279.7, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
11, 4.241, 28.230, 28.546, -2.85714, 1.64583e-05, 1.0512e-05, -1.26638e-05, -39.6952, 33.9663, 29.441, 29078, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
12, 4.241, 28.230, 28.546, -2.14286, 3.17162e-05, 2.24625e-05, -2.23909e-05, -45.0914, 28.0964, 35.5917, 57271.2, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
13, 4.241, 28.230, 28.546, -1.42857, 6.37603e-05, 5.39818e-05, -3.39315e-05, -57.8476, 21.1672, 47.2429, 130518, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
14, 4.241, 28.230, 28.546, -0.714286, 0.000143535, 0.000134974, -4.88279e-05, -70.1121, 15.2739, 65.471, 327067, 46.54886887, 40.29344546, 0, 2021.07.23 11:36:36:117
1, 4.579, 33.688, 33.998, -10, 1.64958e-07, 1.2914e-07, -1.02635e-07, -51.5238, 82.7138, 12.0899, 317.01, 46.54891797, 40.29344987, 0, 2021.07.23 11:36:37:867
2, 4.579, 33.688, 33.998, -9.28571, 2.32445e-07, 1.73615e-07, -1.54558e-07, -48.3235, 75.4385, 13.2558, 429.04, 46.54891797, 40.29344987, 0, 2021.07.23 11:36:37:867
3, 4.579, 33.688, 33.998, -8.57143, 3.37253e-07, 2.15142e-07, -2.59718e-07, -39.6372, 67.6596, 14.7799, 609.788, 46.54891797, 40.29344987, 0, 2021.07.23 11:36:37:867
4, 4.579, 33.688, 33.998, -7.85714, 5.23993e-07, 3.21203e-07, -4.14001e-07, -37.8061, 61.138, 16.3564, 925.683, 46.54891797, 40.29344987, 0, 2021.07.23 11:36:37:867
5, 4.579, 33.688, 33.998, -7.14286, 8.99194e-07, 5.28455e-07, -7.2752e-07, -35.9939, 56.9935, 17.5459, 1567.11, 46.54891797, 40.29344987, 0, 2021.07.23 11:36:37:867
